AP #,RMP,Rin,Duration_of_Spiking,Mean_AP_Half-Height_Width,Mean_AP_Amplitude,Mean_Inst_Freq,Max_Freq,Freq_Adapt,Peak_Adapt,Mean_ISI,Mean_AHP_Amplitude
2,-70.81304093909371,98.3632781466122,235.1499999998789,0.4297480209213518,82.4690214556202,4.252152700332775,4.25260472039124,0.9997874149665038,0.9962207105064232,235.17499999993913,-20.796807379569135
28,-71.18017066404126,98.3632781466122,485.1499999999006,0.4334149946136152,78.84452424500242,57.30531148751454,79.36507936507937,1.6956521739126582,0.8570923240184057,17.778571428571535,-18.927682048801575
43,-71.95143593827798,98.3632781466122,481.24999999990985,0.4480695280751005,73.44893819346397,90.84582202857229,141.84397163120565,1.7902097902093832,0.8155547627541893,11.358139534883758,-18.87964935589232
56,-72.7233445991491,98.3632781466122,492.64999999990187,0.46258149803406146,68.15839123819003,115.45592457385366,181.8181818181818,1.8303571428567267,0.7445748843827817,8.897321428571452,-18.991807768681923
64,-73.2072379053393,98.3632781466122,490.549999999905,0.4701092690705967,63.287694303944654,131.9091054692201,200.0,2.0980392156857977,0.678429960388911,7.744531250000018,-18.957375045181003
